word,ipa
stour,stʊɹ
aidan,ɑidɑn
gratify,ɡɹætəfaj
anatomy,ənætəmi
kristen,kɹɪsən
kerosene,kɛɹəsin
executing,ɛksəkjutɪŋ
spitz,spɪts
muscovite,mʌskəvajt
canada,kænədə
lack,læk
outboard,awtbɔɹd
train,tɹejn
countryman,kʌntɹimən
soothes,suðz
farms,fɑɹmz
lists,lɪsts
gilgit,ɡɪld͡ʒɪt
huan,hwɑn
torrance,tɔɹəns
risking,ɹɪskɪŋ
dismal,dɪzməl
carley,kɑɹli
testing,tɛstɪŋ
prefixes,pɹɛfɪksɪz
caramelized,kæɹəməlajzd
smoothed,smuðd
anyway,ɛniwej
picnics,pɪknɪks
puglia,pʌɡliə
barrett,bæɹɪt
convenor,kənvnɹ̩
dykes,dajks
blois,blw
leith,liθ
lovingly,lʌvɪŋli
forgiving,fɹ̩ɡɪvɪŋ
tutored,tutɹ̩d
approached,əpɹowt͡ʃt
regent,ɹid͡ʒənt
geometric,d͡ʒiəmɛtɹɪk
opposed,əpowzd
evidently,ɛvədəntli
before,bɪfɔɹ
smithy,smɪθi
chekhov,t͡ʃɛkɑv
wonders,wʌndɹ̩z
dove,dʌv
bespectacled,bɪspɛktəkəld
chameleon,t͡ʃəmɛliən
santo,sæntow
examining,ɪɡzæmɪnɪŋ
contributions,kɑntɹəbjuʃənz
recur,ɹɪkɹ̩
humorously,hjumɹ̩əsli
future,fjut͡ʃɹ̩
stephanie,stɛfəni
outsourcing,awtsɔɹsɪŋ
unrealistic,ənɹilɪstɪk
mesolithic,mɛzəlɪθɪk
napkin,næpkɪn
dodges,dɑd͡ʒɪz
stern,stɹ̩n
neoclassical,niowklæsɪkəl
oblong,ɑblɔŋ
jewish,d͡ʒuɪʃ
aesthetically,ɛsθɛtɪkli
pantera,pæntɛɹə
engineers,ɛnd͡ʒənɪɹz
cognates,kɑɡnejts
stressful,stɹɛsfəl
tortillas,tɔɹtiəz
sent,sɛnt
curiosities,kjʊɹiɑsətiz
poses,powzəz
absent,æbsənt
elmore,ɛlmɔɹ
prefect,pɹifɛkt
danbury,dænbɹ̩i
howden,hawdən
hell,hɛl
chats,t͡ʃæts
beeches,bit͡ʃɪz
wiper,wajpɹ̩
massacre,mæsəkɹ̩
tours,tʊɹz
equestrian,ɪkwɛstɹiən
butterfly,bʌtɹ̩flaj
spiky,spajki
snellius,snɛliɪs
pocketed,pɑkətɪd
goldsmith,ɡowldsmɪθ
nautilus,nɔtələs
interestingly,ɪntɹ̩ɛstɪŋli
piscataway,pɪskætəwej
swallowed,swɑlowd
generalized,d͡ʒɛnɹ̩əlajzd
rigger,ɹɪɹ̩
despair,dɪspɛɹ
styled,stajld
masterful,mæstɹ̩fəl
sponsoring,spɑnsɹ̩ɪŋ
limelight,lajmlajt
repair,ɹɪpɛɹ
soap,sowp
dallas,dæləs
warners,wɔɹnɹ̩z
bratislava,bɹætɪslɑvə
tremble,tɹɛmbəl
toxicity,tɑksɪsəti
castle,kæsəl
brothel,bɹɑθəl
aloft,əlɔft
wham,wæm
whitewater,wajtwɔtɹ̩
marta,mɑɹtə
triton,tɹajtən
tabs,tæbz
captivated,kæptɪvejtɪd
parasites,pɛɹəsajts
aides,ejdz
interpretive,ɪntɹ̩pɹətɪv
oblivious,əblɪviəs
converters,kənvɹ̩tɹ̩z
skip,skɪp
rod,ɹɑd
stringer,stɹɪŋɹ̩
testosterone,tɛstɑstɹ̩own
neill,nil
alves,ɑlvɛs
smoky,smowki
patriarchate,pejtɹiɑɹkət
cooperated,kowɑpɹ̩ejtəd
quito,kwitow
aquaria,əkwɛɹiə
babbled,bæbəld
receiver,ɹəsivɹ̩
stammered,stæmɹ̩d
unraveled,ənɹævəld
converter,kənvɹ̩tɹ̩
bathurst,bæθɹ̩st
bulk,bʌlk
coats,kowts
mouseless,mawsləs
templars,tɛmplɹ̩z
dissipates,dɪsəpejts
barr,bɑɹ
pub,pʌb
disappears,dɪsəpɪɹz
eek,ik
drastic,dɹæstɪk
disarmament,dɪsɑɹməmənt
conspiring,kənspajɹɪŋ
tattoos,tætuz
tempore,tɛmpɔɹ
discontent,dɪskəntɛnt
bearers,bɛɹɹ̩z
nemesis,nɛməsɪs
propel,pɹəpɛl
poodle,pudəl
newnham,nunhəm
innovator,ɪnəvejtɹ̩
fanfare,fænfɛɹ
bubbling,bʌbəlɪŋ
marian,mɛɹiən
silt,sɪlt
fairing,fɛɹɪŋ
tailor,tejlɹ̩
clan,klæn
ravine,ɹəvin
slotted,slɑtɪd
undetermined,ʌndɪtɹ̩mɪnd
prerogative,pɹɪɹɑɡətɪv
confederate,kənfɛdɹ̩ət
planking,plæŋkɪŋ
johann,jowhɑn
retirement,ɹitajɹ̩mənt
shadow,ʃædow
denied,dɪnajd
fabric,fæbɹɪk
jill,d͡ʒɪl
organisational,ɔɹɡənəsejʃənəl
stilwell,stɪlwɛl
swam,swæm
inactivity,ɪnæktɪvɪti
enrolls,ɛnɹowlz
haga,hɑɡə
counties,kawntiz
inaugurated,ɪnɔɡɹ̩ejtɪd
todd,tɑd
dogma,dɑɡmə
achromatic,ækɹowmætɪk
emission,ɪmɪʃən
frees,fɹiz
luther,luθɹ̩
mussorgsky,musɔɹɡski
bilaterally,bajlætɹ̩əli
coinage,kojnɪd͡ʒ
ozone,owzown
fliers,flajɹ̩z
hear,hɪɹ
dictionaries,dɪkʃənɛɹiz
pronunciation,pɹənʌnsiejʃən
anchored,æŋkɹ̩d
kalmar,kælmɹ̩
approximated,əpɹɑksəmejtəd
sperry,spɛɹi
zara,zæɹə
shearwater,ʃɪɹwɔtɹ̩
disparate,dɪspɹ̩ɪt
consumption,kənsʌmpʃən
athenian,əθiniən
sullen,sʌlən
struck,stɹʌk
cuthbert,kʌθbɹ̩t
insufficient,ɪnsəfɪʃənt
brothers,bɹʌðɹ̩z
divided,dɪvajdəd
assaults,əsɔlts
horner,hɔɹnɹ̩
piano,piænow
ankara,æŋkɹ̩ə
organized,ɔɹɡənajzd
waterfront,wɔtɹ̩fɹʌnt
horoscopes,hɔɹəskowps
fabulosos,fæbuləsows
ratios,ɹejʃiowz
indestructible,ɪndəstɹʌktɪbəl
painless,pejnləs
rush,ɹʌʃ
quiver,kwɪvɹ̩
denver,dɛnvɹ̩
sawmill,sɔmɪl
tse,tsi
dani,dɑni
gazetted,ɡəzɛtɪd
grandchild,ɡɹændt͡ʃajld
lithgow,lɪθɡaw
modes,mowdz
influencing,ɪnfluənsɪŋ
ageing,ejɡɪŋ
saddam,sɑdəm
mitcham,mɪt͡ʃəm
orphanage,ɔɹfənəd͡ʒ
cannot,kænɑt
undescribed,ʌndɪskɹajbd
gory,ɡɔɹi
hereafter,hɪɹæftɹ̩
radius,ɹejdiəs
cesareans,t͡ʃɛsɑɹ̩inz
dyslexia,dəslɛksjə
witnessing,wɪtnəsɪŋ
highest,hajəst
warmer,wɔɹmɹ̩
jettisoned,d͡ʒɛtɪsənd
cancer,kænsɹ̩
librettist,ləbɹɛtəst
individual,ɪndəvɪd͡ʒəwəl
armband,ɑɹmbænd
has,hæz
grasses,ɡɹæsəz
internal,ɪntɹ̩nəl
thorough,θɹ̩ow
albania,ælbejniə
demand,dɪmænd
paranormal,pæɹənɔɹməl
owes,owz
vanguard,vænɡɑɹd
wilt,wɪlt
triangular,tɹajæŋɡjəlɹ̩
exerted,ɪɡzɹ̩tɪd
muffins,mʌfənz
millburn,mɪlbɹ̩n
obedient,owbidiənt
tangerine,tænd͡ʒɹ̩in
the,ðə
encrypted,ɛnkɹɪptɪd
sago,sejɡow
sail,sejl
madge,mæd͡ʒ
motto,mɑtow
traces,tɹejsəz
alloy,æloj
flier,flajɹ̩
financed,fɪnænst
canine,kejnajn
fun,fʌn
chrome,kɹowm
morna,mɔɹnə
mimim,mɪmim
strasburg,stɹæsbɹ̩ɡ
searching,sɹ̩t͡ʃɪŋ
retardation,ɹitɑɹdejʃən
loudest,lawdəst
thursday,θɹ̩zdi
tampa,tæmpə
iodide,ajədajd
hurst,hɹ̩st
